LGA Name,Region,Year,Net Expenditure,Adult population,Adults per venue,Number of machine per 1000 adults,Expenditure per adult,Unemployment rate
Yarriambiack,Country,2020,0,5258.044836,0,0,0,0.038225748
Whittlesea,Metro,2021,67242759.22,183060.998,18306.0998,3.763772773,367.3243343,0.083954803
Nillumbik,Metro,2021,4886130.35,50202.44113,25101.22057,1.792741508,97.328541,0.035321185
Ararat,Country,2021,3061583.2,9832.674711,4916.337355,8.949751984,311.3682991,0.030935961
Northern Grampians,Country,2021,2398765.33,9172.127047,4586.063524,8.722077179,261.5277043,0.030997038
Borough Of Queenscliffe,Country,2021,749271.29,2575.048274,2575.048274,11.65026703,290.9736868,0.026666667
Greater Geelong,Country,2021,69812595.48,212436.7033,8497.46813,6.270102951,328.6277485,0.041098534
Corangamite,Country,2021,1619192.54,12479.23306,6239.616531,4.567588386,129.7509656,0.030401485
Colac Otway,Country,2021,4306383.32,17132.93903,3426.587806,6.420381221,251.3511145,0.035412578
Hepburn,Country,2021,1870726.65,13222.76372,6611.38186,4.310747829,141.4777341,0.054443754
Moorabool,Country,2021,5842312.02,28120.80306,9373.601021,3.87613397,207.7576521,0.062407759
Central Goldfields,Country,2021,4345839.89,10922.45309,5461.226544,9.063897936,397.8813052,0.105535055
Mount Alexander,Country,2021,1386596.92,16495.99944,16495.99944,1.818622759,84.05655719,0.041653282
Mansfield,Country,2021,885213.58,7330.597711,7330.597711,5.456580974,120.7559895,0.029098936
Murrindindi,Country,2021,955172.75,12227.78973,12227.78973,2.044523218,78.11491459,0.049617826
Mitchell,Country,2021,10166049.62,37376.74279,9344.185697,5.457939477,271.9886448,0.061752988
Towong,Country,2021,141399.59,4975.539535,4975.539535,2.009832286,28.41894613,0.029108551
Alpine,Country,2021,1571940.55,10420.40032,5210.200162,5.566004971,150.8522227,0.03280784
Moira,Country,2021,2763277.47,23994.71952,11997.35976,4.292611128,115.1618992,0.045652008
Strathbogie,Country,2021,861576.02,8979.490044,8979.490044,3.563676761,95.94932627,0.036606829
Benalla,Country,2021,3351909.22,11550.64175,3850.213915,9.090404006,290.1924667,0.041188008
Gannawarra,Country,2021,1296902.14,8400.781997,8400.781997,5.356644181,154.37874,0.027367507
Campaspe,Country,2021,5422266.38,29860.37167,7465.092917,6.965753887,181.5873707,0.044026599
Glenelg,Country,2021,4794726.96,15834.75277,3958.688193,7.578267986,302.7977152,0.047459252
Southern Grampians,Country,2021,3840793.14,12711.06348,6355.531738,5.900371762,302.1614319,0.037066882
Wellington,Country,2021,13030736.57,35263.60743,5037.658204,8.989437643,369.5236399,0.055230914
Wodonga,Country,2021,4263903.67,33512.98587,11170.99529,4.147645947,127.2313869,0.042990419
Warrnambool,Country,2021,12680130.48,27796.82895,3474.603618,8.418226426,456.1718354,0.038529161
Greater Bendigo,Country,2021,29801121.08,93818.62767,8528.966152,7.024191425,317.6460989,0.04732802
Ballarat,Country,2021,33712291.21,87661.77755,6261.55554,7.289379908,384.5722976,0.059435963
Swan Hill,Country,2021,5538862.62,16065.9968,4016.499199,9.896678185,344.7568607,0.026436303
Greater Shepparton,Country,2021,23211491.04,51756.26446,6469.533057,6.318075762,448.4769387,0.057794031
Mildura,Country,2021,17537958.22,43906.83716,5488.354644,6.399914414,399.4356997,0.034651527
East Gippsland,Country,2021,15826004.79,38908.78975,3890.878975,8.532776324,406.746262,0.067103666
Bass Coast,Country,2021,10212163.44,30283.4334,6056.686681,7.03354858,337.2194726,0.066641352
Latrobe,Country,2021,26146188.13,60119.77712,4624.59824,8.666033457,434.9016144,0.0796409
Surf Coast,Country,2021,2230907.96,26682.76358,8894.254528,3.298009208,83.60857949,0.025803723
South Gippsland,Country,2021,3544095.23,23768.81377,5942.203443,4.417553228,149.1069459,0.040474186
Macedon Ranges,Country,2021,5293105.47,39340.95477,13113.65159,2.618136764,134.544408,0.034955933
Horsham,Country,2021,5859438.1,15444.61043,5148.203478,9.906368351,379.384001,0.024910658
Baw Baw,Country,2021,9658709.69,42662.27343,10665.56836,5.555259505,226.3993199,0.044256265
Wangaratta,Country,2021,5239122.06,23307.38037,5826.845093,6.607349154,224.7838228,0.035965353
Melbourne,Metro,2021,41502500.31,183941.8527,18394.18527,3.794677448,225.6283696,0.054442279
Moreland,Metro,2021,34684437.16,156975.3435,13081.27862,4.083443845,220.9546824,0.07447522
Darebin,Metro,2021,46800933.56,137557.7411,11463.14509,5.401368137,340.2275522,0.074099818
Boroondara,Metro,2021,9345847.28,147673.8879,36918.47197,1.097011817,63.28706729,0.045569714
Whitehorse,Metro,2021,28744018.47,146168.9795,24361.49658,2.948642055,196.6492383,0.061659181
Manningham,Metro,2021,30479034.11,104930.4589,14990.06555,4.974723313,290.4688919,0.068801969
Banyule,Metro,2021,30820598.42,104049.2642,11561.02935,6.093267502,296.2115942,0.051721482
Maroondah,Metro,2021,33757179.79,94432.48149,11804.06019,6.766739473,357.4742425,0.055777089
Knox,Metro,2021,40314103.48,131092.5187,11917.5017,5.850829685,307.5240591,0.053984696
Monash,Metro,2021,62312856.44,168566.1753,11237.74502,5.665430792,369.6640582,0.039733621
Port Phillip,Metro,2021,16253249.02,104127.6502,10412.76502,3.610952512,156.0896553,0.055585851
Kingston,Metro,2021,44194025.61,133111.1026,8319.443915,6.791319297,332.0085608,0.060131275
Greater Dandenong,Metro,2021,72841673.06,136998.3455,9785.596105,6.766505076,531.6974655,0.086494562
Frankston,Metro,2021,35642677.39,113457.6646,12606.40718,4.574393468,314.1495773,0.061607014
Casey,Metro,2021,80234395.17,276723.5921,21286.43016,3.292093721,289.9441806,0.071024074
Cardinia,Metro,2021,16533978.52,89416.10332,17883.22066,3.858365408,184.910524,0.063685785
Yarra Ranges,Metro,2021,15836711.73,124571.8303,13841.31448,3.572236186,127.1291567,0.056699962
Hume,Metro,2021,72199630.77,184496.3156,13178.30826,4.493314661,391.3337267,0.120616816
Brimbank,Metro,2021,92071306.4,166681.3634,11112.09089,5.675499534,552.3791296,0.100896089
Melton,Metro,2021,42096239.84,128601.2811,18371.61158,4.004625737,327.3391951,0.089417527
Hobsons Bay,Metro,2021,25889811.18,77346.201,8594.022333,6.916952521,334.7263453,0.056291451
Wyndham,Metro,2021,61629448.79,212358.6577,16335.28136,4.247531086,290.2139685,0.077397002
Mornington Peninsula,Metro,2021,49342514.79,136284.8076,8016.75339,5.928760615,362.0544039,0.04596493
Yarra,Metro,2021,17170351.84,91225.20819,13032.1726,3.157022118,188.2193769,0.063196824
Maribyrnong,Metro,2021,35704081.49,81769.50094,9085.500105,5.686716864,436.6430158,0.069788229
Stonnington,Metro,2021,11185349.52,104065.5619,20813.11238,2.344675755,107.4836797,0.043477129
Glen Eira,Metro,2021,39194938.6,124251.1453,11295.55866,6.205174192,315.4493145,0.052340072
Bayside,Metro,2021,7420858.2,85053.867,17010.7734,2.445509033,87.24892191,0.043995455
Moonee Valley,Metro,2021,43672024.93,107715.852,9792.350186,6.814224518,405.4373066,0.059930678
Buloke,Country,2021,0,4877.109528,0,0,0,0.024015009
Golden Plains,Country,2021,0,18181.8817,0,0,0,0.032943677
Hindmarsh,Country,2021,0,4472.529253,0,0,0,0.027549342
Indigo,Country,2021,0,13330.94287,0,0,0,0.025097956
Loddon,Country,2021,0,6110.198352,0,0,0,0.055459272
Moyne,Country,2021,0,13159.97059,0,0,0,0.028459998
Pyrenees,Country,2021,0,6073.691553,0,0,0,0.062970774
West Wimmera,Country,2021,0,2952.348653,0,0,0,0.019241341
Yarriambiack,Country,2021,0,5215.019754,0,0,0,0.028954035
Whittlesea,Metro,2022,97729563.6,188501.0483,18850.10483,3.649847076,518.4563401,0.046395919
Nillumbik,Metro,2022,7180438.58,50553.43972,25276.71986,1.780294289,142.0365977,0.016461114
Ararat,Country,2022,4188923.57,9867.702064,4933.851032,8.816642358,424.508517,0.037722029
Northern Grampians,Country,2022,3627235.73,9140.151054,4570.075527,8.752590578,396.8463659,0.031687675
Borough Of Queenscliffe,Country,2022,1353727.22,2589.324245,2589.324245,11.58603449,522.8110086,0.010519802
Greater Geelong,Country,2022,104148198,217368.294,8694.731759,6.150851054,479.132426,0.028243159
Corangamite,Country,2022,2396577.43,12464.52706,6232.263532,4.572977354,192.2718301,0.022519178
Colac Otway,Country,2022,6671347.85,17206.83028,3441.366057,6.392810192,387.7150957,0.025521017
Hepburn,Country,2022,2698681.08,13358.94212,6679.471059,4.266804924,202.0130828,0.028742068
Moorabool,Country,2022,9441387.02,28781.50137,9593.833791,3.821899302,328.0366405,0.038590274
Central Goldfields,Country,2022,6921801.62,10984.50294,5492.251471,9.012697299,630.1424522,0.076035559
Mount Alexander,Country,2022,2291143.4,16616.19458,16616.19458,1.805467543,137.8861682,0.027975692
Mansfield,Country,2022,1486887.41,7436.683431,7436.683431,5.378741797,199.9395865,0.01454616
Murrindindi,Country,2022,1837925.37,12373.27493,12373.27493,2.020483675,148.5399283,0.026265702
Mitchell,Country,2022,15099083.26,39139.71097,9784.927742,5.109899768,385.7740102,0.035414725
Towong,Country,2022,255236.76,4991.760074,4991.760074,2.003301411,51.13161615,0.021814733
Alpine,Country,2022,2381438.7,10465.07425,5232.537123,5.542244483,227.560612,0.017920094
Moira,Country,2022,4757365.64,24179.0534,12089.5267,4.259885542,196.7556613,0.018229773
Strathbogie,Country,2022,1575659.77,9054.218833,9054.218833,3.534264036,174.0249268,0.023813755
Benalla,Country,2022,5759311.14,11603.12867,3867.709556,9.049283431,496.3584655,0.030917458
Gannawarra,Country,2022,1690859.43,8384.845722,8384.845722,5.366825043,201.6565941,0.028457711
Campaspe,Country,2022,9299310.23,30001.99764,7500.499411,6.966202801,309.9563683,0.019570378
Glenelg,Country,2022,6903658.86,15840.92522,3960.231306,7.575315098,435.8115933,0.03925367
Southern Grampians,Country,2022,5808822.56,12697.44298,6348.721491,5.906701067,457.4797121,0.030843959
Wellington,Country,2022,20999867.27,35517.36504,5073.909292,8.953366884,591.2563402,0.04239328
Wodonga,Country,2022,9192349.56,34363.97675,11454.65892,4.161334442,267.4995862,0.031671452
Warrnambool,Country,2022,18449318.05,28027.21267,3503.401584,8.349028594,658.2644613,0.027654508
Greater Bendigo,Country,2022,45975301.01,95456.47678,8677.861526,6.935097778,481.6362656,0.042244077
Ballarat,Country,2022,51177397.9,89401.65494,6385.832496,7.237002496,572.4435183,0.0403182
Swan Hill,Country,2022,8307399.76,16109.06907,4027.267267,9.870216542,515.6970725,0.027946537
Greater Shepparton,Country,2022,32827395.8,52362.04865,6545.256081,6.283176623,626.9310817,0.024856284
Mildura,Country,2022,29180379.62,44293.8114,5536.726425,6.344001365,658.7913457,0.039267108
East Gippsland,Country,2022,23643779.68,39311.19162,3931.119162,8.44543211,601.4516148,0.052610422
Bass Coast,Country,2022,14665494.59,30905.79778,6181.159556,6.891910751,474.5224405,0.040609137
Latrobe,Country,2022,39035645.81,60552.77205,4657.905542,8.620579741,644.654976,0.065659047
Surf Coast,Country,2022,3378700.17,27418.00796,9139.335988,3.246041803,123.2292359,0.011484979
South Gippsland,Country,2022,6366275.31,23986.13694,5996.534234,4.377528582,265.4147822,0.026106033
Macedon Ranges,Country,2022,7741945.74,40040.22852,13346.74284,2.572412891,193.3541847,0.020895842
Horsham,Country,2022,8918822.77,15508.67585,5169.558615,9.865445737,575.0860266,0.027481349
Baw Baw,Country,2022,15653601.5,43658.42828,10914.60707,5.428505087,358.5470691,0.029546574
Wangaratta,Country,2022,8688279.89,23497.92566,5874.481416,6.553769988,369.7466753,0.02556391
Melbourne,Metro,2022,61112470.65,190806.241,19080.6241,3.757738721,320.2854913,0.050178624
Moreland,Metro,2022,46210631.85,159490.7628,13290.8969,4.012771578,289.7386095,0.050508097
Darebin,Metro,2022,63516201.15,139795.8758,11649.65632,5.307738841,454.3496063,0.046402469
Boroondara,Metro,2022,13129434.81,149258.2868,37314.5717,1.085366873,87.96452841,0.028494307
Whitehorse,Metro,2022,39610147.31,148294.7303,24715.78838,2.89963102,267.1042136,0.042836165
Manningham,Metro,2022,44169839.07,106089.7199,15155.67428,4.920363635,416.3441952,0.041634508
Banyule,Metro,2022,39933306.92,104915.766,11657.30734,6.052474513,380.6225549,0.027108475
Maroondah,Metro,2022,45922626.48,95503.84919,11937.98115,6.70130058,480.8458179,0.033915132
Knox,Metro,2022,56216977.91,132337.941,12030.72191,5.795767972,424.7986442,0.033681606
Monash,Metro,2022,84931441.71,171021.9513,11401.46342,5.584078491,496.6113475,0.034561713
Port Phillip,Metro,2022,20898871.63,106099.9377,10609.99377,3.553253736,196.9734581,0.038831725
Kingston,Metro,2022,62540617.51,134845.9115,8427.869467,6.770691006,463.7932053,0.034017057
Greater Dandenong,Metro,2022,102478691.1,139107.518,9936.251289,6.642344087,736.6869346,0.085420588
Frankston,Metro,2022,49706086.4,114502.2067,12722.46742,4.532663734,434.1059253,0.045712861
Casey,Metro,2022,114664060.3,284735.6581,21902.74293,3.202970805,402.7035497,0.061857418
Cardinia,Metro,2022,24313333.94,92419.49203,18483.89841,3.732978752,263.0758231,0.056241427
Yarra Ranges,Metro,2022,21873008.93,125754.9577,13972.77307,3.546579859,173.9335716,0.03418016
Hume,Metro,2022,104550447.2,189743.5687,13553.11205,4.390135621,551.0091744,0.086916551
Brimbank,Metro,2022,128396442,168274.7607,11218.31738,5.66335674,763.0166372,0.066724471
Melton,Metro,2022,61122751.26,135251.7398,19321.67711,3.866863383,451.9184105,0.056416122
Hobsons Bay,Metro,2022,34829848.63,78369.12461,8707.680513,6.826668061,444.4332995,0.03514975
Wyndham,Metro,2022,87520355.84,220298.8531,16946.06562,4.07174158,397.2801248,0.04457929
Mornington Peninsula,Metro,2022,67412975.05,138058.2129,8121.071347,5.939523501,488.2938409,0.030173339
Yarra,Metro,2022,23037269.58,93072.52763,13296.07538,3.094361003,247.5195438,0.043004446
Maribyrnong,Metro,2022,50134080.44,84687.87444,9409.763827,5.54979096,591.9865243,0.046975286
Stonnington,Metro,2022,15247317.24,105540.5525,21108.1105,2.311907548,144.4688025,0.024988006
Glen Eira,Metro,2022,51391551.21,125896.5518,12589.65518,5.869898653,408.2045971,0.02595996
Bayside,Metro,2022,10161035.99,86049.46588,17209.89318,2.417214307,118.0836614,0.019535892
Moonee Valley,Metro,2022,62465544.32,109575.023,9961.365731,6.808120859,570.0710124,0.040464229
Buloke,Country,2022,0,4840.840814,0,0,0,0.027998617
Golden Plains,Country,2022,0,18641.69776,0,0,0,0.01923507
Hindmarsh,Country,2022,0,4439.436223,0,0,0,0.034200743
Indigo,Country,2022,0,13451.44292,0,0,0,0.015216201
Loddon,Country,2022,0,6115.857822,0,0,0,0.058073654
Moyne,Country,2022,0,13295.75675,0,0,0,0.020475561
Pyrenees,Country,2022,0,6103.587626,0,0,0,0.043319097
West Wimmera,Country,2022,0,2917.078447,0,0,0,0.020140987
Yarriambiack,Country,2022,0,5171.875933,0,0,0,0.035057862
